"id","ExpBLUP","AactiveTBLUP"
"1",0.314998468452642,0.302494718080729
"2",0.245114901435956,0.360639458619619
"3",0.219879168902153,0.208568598748676
"4",0.262585793190128,-0.321443074625052
"5",-0.224657965731766,-0.0217740272323115
"6",0.256762162605404,1.06284901743544
"7",-0.141185927350724,0.371821139492482
"8",0.244504812058449,0.684545953818653
"9",-0.203304653587779,0.190677909352094
"10",-0.461485609510535,-0.252116653213299
"11",-0.321718475477163,0.103460798543759
"12",-0.220395720997399,-0.0528662700537513
"13",-0.0252820257770687,0.0220271589332896
"14",-0.454050393051374,-0.554076140967027
"15",-0.24018764729103,0.166078211431795
"16",0.470288204489337,0.876982546711549
"17",-0.430426246392008,-0.287898032006462
"18",-0.420720195417468,-0.205153593547272
"19",0.357718931507283,0.451224117359025
"20",0.412058978198039,0.358403122445046
